name,label,locationname,elevation,locationglobalid,active,display,locationmpname
1 inch steel pipe attached to transducer conduit,1 inch steel pipe attached to transducer conduit,Munson Slough @ Cap Cir,25.94,{C1C3F233-4939-41EE-802F-24D62909DD43},Yes,1,Munson Slough @ Cap Cir - 1 inch steel pipe attached to transducer conduit
Staff,Staff,Munson Slough @ Cap Cir,24.85,{E74F6EC5-D756-4F51-BF70-63F9D11576F7},Yes,2,Munson Slough @ Cap Cir - Staff
1.25 inch galv pipe,1.25 inch galv pipe,Munson Slough @ Cap Cir,27.88,{0FD75690-B4A9-48D8-B9F9-7F68BC1632D3},Yes,3,Munson Slough @ Cap Cir - 1.25 inch galv pipe
Ch square,Ch square,Munson Slough @ Oak Ridge Road,22.96,{28E86042-9C87-4C5C-8CEF-CA278F883855},Yes,1,Munson Slough @ Oak Ridge Road - Ch square
FDOT bass survey disk,FDOT bass survey disk,Munson Slough @ Oak Ridge Road,23,{267AAC35-006F-498C-A127-26571F3FE62B},Yes,1,Munson Slough @ Oak Ridge Road - FDOT bass survey disk
Ch Square- top of center culvert,Ch Square- top of center culvert,NE DD @ Centerville & Blairstone,75.44,{0B68DA38-C67F-48B5-B235-4440ED846CFB},Yes,1,NE DD @ Centerville & Blairstone - Ch Square- top of center culvert
Chiseled V on West culvert,Chiseled V on West culvert,NE DD @ Centerville & Blairstone,69.54,{72DBF1D2-CDC0-439B-ACB5-44920E2B42F8},Yes,2,NE DD @ Centerville & Blairstone - Chiseled V on West culvert
Ch Square- East 5ft of station,Ch Square- East 5ft of station,NE DD @ Mahan,56.02,{3EAE261F-F90D-4BA0-B631-2B04DFD460CE},Yes,1,NE DD @ Mahan - Ch Square- East 5ft of station
Ch Square on bridge railing,Ch Square on bridge railing,New River @ Burnt Bridge Rd (Fr3),14.56,{2E10BB5B-0FD2-486A-B70F-A4A20C0E472E},Yes,1,New River @ Burnt Bridge Rd (Fr3) - Ch Square on bridge railing
Wooden Ch Square,Wooden Ch Square,New River @ Burnt Bridge Rd (Fr3),11.78,{063C2728-A446-4A87-8BD0-9B597440958E},Yes,2,New River @ Burnt Bridge Rd (Fr3) - Wooden Ch Square
Staff,Staff,New River @ Burnt Bridge Rd (Fr3),0,{5D666BE3-6B9E-4825-8B41-45219D405E72},Yes,3,New River @ Burnt Bridge Rd (Fr3) - Staff
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #1,18.85,{C0149C29-E6C6-4CC8-BAD0-AAB452186AC3},Yes,1,Nitrate #1 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #2,18.58,{FACF41DF-8385-43A2-B469-14DC76B5C01E},Yes,1,Nitrate #2 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #3,14.43,{23E7044F-468E-4E65-9365-95A0D26F4019},Yes,1,Nitrate #3 - TO 4 inch PVC casing
TO well,TO well,Nitrate #4,14.8,{F023DE6B-65FC-4D3B-BCA9-E3DFBCFC4D4E},Yes,1,Nitrate #4 - TO well
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #5,30.85,{4F71107D-0357-4902-B8A3-78DBCC7D1844},Yes,1,Nitrate #5 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #6,29.66,{8A3E3B0D-C529-4F59-B058-85E93B7F4F51},Yes,1,Nitrate #6 - TO 4 inch PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #1 IAS Monitor,93.06,{C0498C1C-F992-4B98-8BBF-98AA14143FF6},Yes,1,NW Bay #1 IAS Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #1 SAS Monitor,93.39,{8C6DFBD8-29D0-4697-B389-D4933014EB08},Yes,1,NW Bay #1 SAS Monitor - TO hole in recorder mounting plate
TO 6 inch PVC casing,TO 6 inch PVC casing,NW Bay #1 UFA Monitor,85.07,{3071D975-900F-4364-A90A-C7038A829BE1},Yes,1,NW Bay #1 UFA Monitor - TO 6 inch PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #3 IAS Monitor,93.36,{C3CB7628-F026-4B2F-8DDE-2E541E4E0C61},Yes,1,NW Bay #3 IAS Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #3 SAS Monitor,93.81,{CCA0EA05-8725-418B-B41A-DB85924F9944},Yes,1,NW Bay #3 SAS Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #3 UFA Monitor,93.65,{D1BAF4BE-FF97-43F1-BB57-38AFEA9582D8},Yes,1,NW Bay #3 UFA Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW BAY CTY - SITE #2 IAS MONITOR,83.92,{CB05A82E-7B70-444C-B177-3A34F2745FE6},Yes,1,NW BAY CTY - SITE #2 IAS MONITOR - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW BAY CTY - SITE #2 SAS MONITOR,84.04,{CFA2F697-6D02-4269-8F3E-5374B0710B93},Yes,1,NW BAY CTY - SITE #2 SAS MONITOR - TO hole in recorder mounting plate
TO 6 inch PVC casing,TO 6 inch PVC casing,NW BAY CTY - SITE #2 UFA MONITOR/S718,85,{F540620A-7FE7-4867-A57E-4F4E220BEBD6},Yes,1,NW BAY CTY - SITE #2 UFA MONITOR/S718 - TO 6 inch PVC casing
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd Deep,117.22,{BE90E38C-D244-42DF-8248-C4097D317504},Yes,1,NWFWMD 9 Mile Rd Deep - TO casing below concrete slab
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd Int,117.39,{806BF7B0-95B0-46BB-8813-59D22BBCF19D},Yes,1,NWFWMD 9 Mile Rd Int - TO casing below concrete slab
TO casing below concrete slab,TO casing below concrete slab,NWFWMD 9 Mile Rd SZ,117.14,{6B7BD908-CE53-4D45-B620-45BF5192A2EA},Yes,1,NWFWMD 9 Mile Rd SZ - TO casing below concrete slab
TO 4 inch PVC casing,TO 4 inch PVC casing,NWFWMD Section 20,138.38,{589192F4-F443-46FD-9CD1-45D38DFEAFD6},Yes,1,NWFWMD Section 20 - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-1D,249.13,{6AC08B23-9CBD-45F4-A8B1-387EFAC5014E},Yes,1,NWFWMD SR-1D - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-1S,248.98,{411D5D1C-9836-4369-BCA6-A4998E5A85A5},Yes,1,NWFWMD SR-1S - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-2D,272.04,{BD291BC1-3446-4BB6-823A-53601979A376},Yes,1,NWFWMD SR-2D - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-3D,292.74,{CD35742D-6EDA-499F-B84C-E7E5F5E98B06},Yes,1,NWFWMD SR-3D - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-3S,292.76,{270E1A30-420A-4D33-9ABB-F1A65570E38A},Yes,1,NWFWMD SR-3S - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-4D,255.69,{8999C174-2B56-46D3-93E4-5FFB79A1D87D},Yes,1,NWFWMD SR-4D - TO PVC casing
TO PVC casing,TO PVC casing,NWFWMD SR-5D,173.96,{9988A299-524D-4268-B5E4-6E18D3FD8B00},Yes,1,NWFWMD SR-5D - TO PVC casing
TO 4 inch steel casing,TO 4 inch steel casing,NWFWMD-Power Line,104.28,{85769CC1-0461-493D-BC91-716D196DB0F8},Yes,1,NWFWMD-Power Line - TO 4 inch steel casing
Ch square on bridge rail,Ch square on bridge rail,Ochlockonee R. @ US319,18.15,{ADD1FA86-B8E0-4F06-A9E6-A17EA531FC2F},Yes,1,Ochlockonee R. @ US319 - Ch square on bridge rail
Alum support arm for TB,Alum support arm for TB,Ochlockonee R. @ US319,14.4,{39A9838B-6FA7-45C4-9532-F6F026FB592A},Yes,2,Ochlockonee R. @ US319 - Alum support arm for TB
Top of enclosure floor,Top of enclosure floor,Okaloosa School Board,18.27,{7A9D2292-AF25-4758-BC93-3F9A7FB7414C},Yes,1,Okaloosa School Board - Top of enclosure floor
TO of yellow cap,TO of yellow cap,Otter Camp Floridan-LZ,110.21,{73AB62DF-E450-4D14-905E-55ADC13B4F3E},Yes,1,Otter Camp Floridan-LZ - TO of yellow cap
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Floridan-LZ,110.03,{AE8D7DF3-B683-45F4-BC80-340858DB1F24},Yes,2,Otter Camp Floridan-LZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Floridan-SZ,109.73,{5BF3B7FA-959D-4BE8-807E-E3876B5198E0},Yes,1,Otter Camp Floridan-SZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Int. Limestone,109.39,{894E97B0-51B0-479C-BC49-4C953F24C75A},Yes,1,Otter Camp Int. Limestone - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Int. Sand,108.51,{01569FE7-AFAC-4142-A789-45DF1427D7D6},Yes,1,Otter Camp Int. Sand - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Otter Camp Surficial,108.74,{18142F75-1398-4BC5-A6C9-D73357E7E383},Yes,1,Otter Camp Surficial - TO 4 inch PVC casing
Staff,Staff,Park Ave DD @ Violet,59.49,{F28B3B5B-E045-45E1-B810-7E9896121660},Yes,1,Park Ave DD @ Violet - Staff
1.75 inch pipe,1.75 inch pipe,Park Ave DD @ Violet,61.67,{5CE03D47-4B53-449A-91C4-3440D759B38D},Yes,2,Park Ave DD @ Violet - 1.75 inch pipe
Staff,Staff,Piney Lake Staff,54.21,{8CF811E8-C7D8-4778-A5F1-5A99069644D9},Yes,1,Piney Lake Staff - Staff
1.75 inch galv pipe,1.75 inch galv pipe,Piney Lake Staff,55.39,{67C268E5-14A4-44D9-BF29-66FC7CF4279B},Yes,2,Piney Lake Staff - 1.75 inch galv pipe
Top of Staff Gage,Top of Staff Gage,Piney Lake Staff,60.87,{C77B5653-24EB-4525-A11B-1CBCCC2FB4DB},Yes,3,Piney Lake Staff - Top of Staff Gage
