Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000032,85d876f4d0da40d694c3264192d02085,Ref point is 2.4ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.4,,FromBottomToTop,2021-04-30T22:42:45.4875590+00:00,admin,,,,,,,,,,,,,,,,,
000034,4b2ec1f6ee2b44678ae29b56344be1d1,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.5058820+00:00,admin,,,,,,,,,,,,,,,,,
000037,a444ee7b520f407d930a39e93b5c3aa5,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.5243470+00:00,admin,,,,,,,,,,,,,,,,,
000038,33b36e8121d04d1e8f3cec6d9427b1a7,Ref point is 1.5ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.5,,FromBottomToTop,2021-04-30T22:42:45.5450830+00:00,admin,,,,,,,,,,,,,,,,,
000040,eac9b9389d524266aeed8f2d30bbd04b,Ref point is 0.3ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.3,,FromBottomToTop,2021-04-30T22:42:45.5645370+00:00,admin,,,,,,,,,,,,,,,,,
000040,860724640a394ff5bb9971391feb241e,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.5811492+00:00,admin,,,,,,,,,,,,,,,,,
000042,68fe5728078f45048e3153379dcd2f51,Ref point is 1.07ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.07,,FromBottomToTop,2021-04-30T22:42:45.6000990+00:00,admin,,,,,,,,,,,,,,,,,
000052,d90d808cded745eb948b48883f793d80,Ref point is 1.38ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.38,,FromBottomToTop,2021-04-30T22:42:45.6200622+00:00,admin,,,,,,,,,,,,,,,,,
000054,5f2be27fda7d44b797646569c6de76aa,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.6386530+00:00,admin,,,,,,,,,,,,,,,,,
000055,fecb77a94bfd4311bdfda2f278bf3860,Ref point is 0.65ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.65,,FromBottomToTop,2021-04-30T22:42:45.6566710+00:00,admin,,,,,,,,,,,,,,,,,
000056,e6d0a2e14cf545d39acabf89272af763,NAVD88 0ft,,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:45:00.1048340+00:00,admin,,,,,,,,,,,,,,,,,
